Keyword,Weight_A,Weight_B,Topic_ID,Label
word,1.1293792993188816,0.0,-1,Outliers / Marginal Discourse
text,1.136074693763203,0.0,-1,Outliers / Marginal Discourse
information,1.1513924834838842,0.0,-1,Outliers / Marginal Discourse
results,1.1565895605745604,0.0,-1,Outliers / Marginal Discourse
verbal,1.163025927817924,0.0,-1,Outliers / Marginal Discourse
listeners,1.1691185963311037,0.0,-1,Outliers / Marginal Discourse
level,1.1747514387554434,0.0,-1,Outliers / Marginal Discourse
vowels,1.1819397972041468,0.0,-1,Outliers / Marginal Discourse
different,1.1874682686869453,0.0,-1,Outliers / Marginal Discourse
rate,1.1878978422127102,0.0,-1,Outliers / Marginal Discourse
attention,1.1946265725543808,0.0,-1,Outliers / Marginal Discourse
condition,1.210272037728068,0.0,-1,Outliers / Marginal Discourse
form,1.2135195590724888,0.25793849189241225,-1,Outliers / Marginal Discourse
types,1.2188234850251498,0.0,-1,Outliers / Marginal Discourse
mode,1.2361769434391434,0.0,-1,Outliers / Marginal Discourse
scmc,1.2629666462715554,0.0,-1,Outliers / Marginal Discourse
effects,1.2689932277937424,0.0,-1,Outliers / Marginal Discourse
proficiency,1.2708649566511299,0.0,-1,Outliers / Marginal Discourse
study,1.2725598056552156,0.2707608762595317,-1,Outliers / Marginal Discourse
meaning,1.310170374073448,0.0,-1,Outliers / Marginal Discourse
speech,1.3105068033244012,0.0,-1,Outliers / Marginal Discourse
linguistic,1.3169287605181745,0.0,-1,Outliers / Marginal Discourse
performance,1.406098181096288,0.0,-1,Outliers / Marginal Discourse
sentences,1.4405357153604361,0.0,-1,Outliers / Marginal Discourse
bilingual,1.5555164854461665,0.0,-1,Outliers / Marginal Discourse
studies,1.5785329063594107,0.2692991429762785,-1,Outliers / Marginal Discourse
length,1.5843267985815206,0.0,-1,Outliers / Marginal Discourse
eit,1.6026982676575625,0.0,-1,Outliers / Marginal Discourse
participants,1.6119637325947056,0.0,-1,Outliers / Marginal Discourse
categorization,1.6735612753803488,0.0,-1,Outliers / Marginal Discourse
l1,1.7161179117431629,0.6628726027580427,-1,Outliers / Marginal Discourse
task,1.7259946098208518,0.0,-1,Outliers / Marginal Discourse
speakers,1.7453797757833205,0.4093073895481655,-1,Outliers / Marginal Discourse
words,1.7840823400947752,0.29878156868489175,-1,Outliers / Marginal Discourse
english,1.8029949312110316,0.5397585419070168,-1,Outliers / Marginal Discourse
processing,1.8294801210765468,0.45125050507677333,-1,Outliers / Marginal Discourse
listening,1.8817972228995434,0.0,-1,Outliers / Marginal Discourse
blocking,1.885055835731965,0.0,-1,Outliers / Marginal Discourse
reading,1.899430321212933,0.0,-1,Outliers / Marginal Discourse
wcf,1.9243096888964641,0.7938745488586532,-1,Outliers / Marginal Discourse
noticing,2.025348931325645,0.0,-1,Outliers / Marginal Discourse
language,2.0789068493551928,0.530018069255985,-1,Outliers / Marginal Discourse
arabic,2.1807435632463514,0.0,-1,Outliers / Marginal Discourse
learning,2.375349443951412,0.3900482842388726,-1,Outliers / Marginal Discourse
feedback,2.4222711486620607,0.531476822796944,-1,Outliers / Marginal Discourse
comprehension,2.636764587000158,0.0,-1,Outliers / Marginal Discourse
interleaving,2.97400531245157,0.0,-1,Outliers / Marginal Discourse
learners,3.073572988040964,0.5545153900451653,-1,Outliers / Marginal Discourse
subtitles,3.3647650820889026,0.0,-1,Outliers / Marginal Discourse
l2,3.8028660408233628,0.9096539263230218,-1,Outliers / Marginal Discourse
underlining,0.0,0.2548540447295766,-1,Outliers / Marginal Discourse
showed,0.0,0.25497583789479106,-1,Outliers / Marginal Discourse
high,0.0,0.2551595727939168,-1,Outliers / Marginal Discourse
establish,0.0,0.25558035733860246,-1,Outliers / Marginal Discourse
corrective,0.0,0.25573679125819554,-1,Outliers / Marginal Discourse
use,0.0,0.2610006491195364,-1,Outliers / Marginal Discourse
forms,0.0,0.2625129605433636,-1,Outliers / Marginal Discourse
line,0.0,0.26604540012623495,-1,Outliers / Marginal Discourse
findings,0.0,0.2685889935206955,-1,Outliers / Marginal Discourse
research,0.0,0.2740445918671728,-1,Outliers / Marginal Discourse
figurative,0.0,0.2744589698734758,-1,Outliers / Marginal Discourse
error,0.0,0.27947329893473627,-1,Outliers / Marginal Discourse
50,0.0,0.2846984358716536,-1,Outliers / Marginal Discourse
direct,0.0,0.2889787540999765,-1,Outliers / Marginal Discourse
programs,0.0,0.28941828760190336,-1,Outliers / Marginal Discourse
interlanguage,0.0,0.29104378442625817,-1,Outliers / Marginal Discourse
speaking,0.0,0.29394379230696566,-1,Outliers / Marginal Discourse
correct,0.0,0.2979134167219388,-1,Outliers / Marginal Discourse
prominence,0.0,0.30576677800224816,-1,Outliers / Marginal Discourse
replication,0.0,0.3235121044280335,-1,Outliers / Marginal Discourse
indirect,0.0,0.3274422327339305,-1,Outliers / Marginal Discourse
intelligibility,0.0,0.32862117064151997,-1,Outliers / Marginal Discourse
interactions,0.0,0.39644353285962464,-1,Outliers / Marginal Discourse
al,0.0,0.39974036097574245,-1,Outliers / Marginal Discourse
oral,0.0,0.40242258717984036,-1,Outliers / Marginal Discourse
et,0.0,0.4061170546558386,-1,Outliers / Marginal Discourse
enrichment,0.0,0.40972873996102493,-1,Outliers / Marginal Discourse
focused,0.0,0.44739507661494393,-1,Outliers / Marginal Discourse
s2010,0.0,0.4544826406553091,-1,Outliers / Marginal Discourse
chinese,0.0,0.523198989509924,-1,Outliers / Marginal Discourse
metalinguistic,0.0,0.5500410225368998,-1,Outliers / Marginal Discourse
errors,0.0,0.5634685394643967,-1,Outliers / Marginal Discourse
er,0.0,0.5891135764658529,-1,Outliers / Marginal Discourse
collocations,0.0,0.6582511855414142,-1,Outliers / Marginal Discourse
immersion,0.0,0.6618319742084937,-1,Outliers / Marginal Discourse
sla,0.0,0.6640179064419341,-1,Outliers / Marginal Discourse
work,0.9459313657880645,0.0,0,General Language Studies (Mega-Topic)
interactions,0.9493036656441258,1.4129297675379937,0,General Language Studies (Mega-Topic)
speaking,0.95773229071206,0.0,0,General Language Studies (Mega-Topic)
speakers,0.9597024815685157,0.0,0,General Language Studies (Mega-Topic)
knowledge,0.9808890731247728,1.326087055924729,0,General Language Studies (Mega-Topic)
tasks,0.9862505216909918,0.0,0,General Language Studies (Mega-Topic)
experience,0.9867507184226517,0.0,0,General Language Studies (Mega-Topic)
crt,0.9905420772326159,0.0,0,General Language Studies (Mega-Topic)
new,0.9923700543650757,0.0,0,General Language Studies (Mega-Topic)
interaction,0.9936894631042607,0.0,0,General Language Studies (Mega-Topic)
attitudes,1.0032736884119315,0.0,0,General Language Studies (Mega-Topic)
contexts,1.0156582666545617,1.3697035600687482,0,General Language Studies (Mega-Topic)
instructors,1.0325413526965603,0.0,0,General Language Studies (Mega-Topic)
self,1.0369496893057562,0.0,0,General Language Studies (Mega-Topic)
concept,1.0689154298473447,0.0,0,General Language Studies (Mega-Topic)
migrants,1.1130276015868326,0.0,0,General Language Studies (Mega-Topic)
resources,1.1393924316378217,0.0,0,General Language Studies (Mega-Topic)
writing,1.1505047349842699,1.8239584010343692,0,General Language Studies (Mega-Topic)
mainstream,1.1506166072553285,0.0,0,General Language Studies (Mega-Topic)
communicative,1.1653770088470543,0.0,0,General Language Studies (Mega-Topic)
positive,1.2028227520890065,0.0,0,General Language Studies (Mega-Topic)
cfl,1.250906385788137,0.0,0,General Language Studies (Mega-Topic)
spanish,1.265794494719275,1.1586587962196788,0,General Language Studies (Mega-Topic)
context,1.2909123616979237,1.575097200423849,0,General Language Studies (Mega-Topic)
linguistic,1.3625795768846252,1.4847023691581045,0,General Language Studies (Mega-Topic)
nnes,1.3918644789987331,0.0,0,General Language Studies (Mega-Topic)
competence,1.3924575787679652,1.816134641329281,0,General Language Studies (Mega-Topic)
task,1.4243861255513603,0.0,0,General Language Studies (Mega-Topic)
cultural,1.4349123094451106,0.0,0,General Language Studies (Mega-Topic)
plurilingual,1.4607594962621104,0.0,0,General Language Studies (Mega-Topic)
study,1.4839987712654543,1.9877520987910156,0,General Language Studies (Mega-Topic)
studies,1.5043604516528268,0.0,0,General Language Studies (Mega-Topic)
multimodal,1.5443769172053432,0.0,0,General Language Studies (Mega-Topic)
research,1.6257748650489452,2.7176471741464003,0,General Language Studies (Mega-Topic)
english,1.6620187128022055,2.618818817121059,0,General Language Studies (Mega-Topic)
multilingual,1.6737887799901512,0.0,0,General Language Studies (Mega-Topic)
social,1.712187403437929,3.1218993439139275,0,General Language Studies (Mega-Topic)
basque,1.8810322917267503,0.0,0,General Language Studies (Mega-Topic)
use,1.9170781990153118,1.6913620525286903,0,General Language Studies (Mega-Topic)
learning,1.9392440158548432,1.8321142735294333,0,General Language Studies (Mega-Topic)
beliefs,1.9626067455114664,2.050549974541796,0,General Language Studies (Mega-Topic)
multilingualism,1.9981577456545347,0.0,0,General Language Studies (Mega-Topic)
languages,2.0020495547703474,1.7969611567956056,0,General Language Studies (Mega-Topic)
practices,2.050218208412235,2.6076787129856767,0,General Language Studies (Mega-Topic)
learners,2.2655517080767744,1.4634773975948356,0,General Language Studies (Mega-Topic)
students,2.2967501152779106,2.5594123839379543,0,General Language Studies (Mega-Topic)
teaching,2.3021240495966437,1.9760382194628527,0,General Language Studies (Mega-Topic)
teachers,2.8998240400400817,4.19602697611833,0,General Language Studies (Mega-Topic)
l2,3.289417557280689,2.643103600753053,0,General Language Studies (Mega-Topic)
language,4.442508429172299,5.181645835014344,0,General Language Studies (Mega-Topic)
people,0.0,1.1324676020657045,0,General Language Studies (Mega-Topic)
school,0.0,1.1471852077743905,0,General Language Studies (Mega-Topic)
french,0.0,1.1514946328841376,0,General Language Studies (Mega-Topic)
identity,0.0,1.151725572961805,0,General Language Studies (Mega-Topic)
understanding,0.0,1.1951282658264066,0,General Language Studies (Mega-Topic)
identities,0.0,1.238202969486455,0,General Language Studies (Mega-Topic)
questioning,0.0,1.2435332014235088,0,General Language Studies (Mega-Topic)
used,0.0,1.2577749488345087,0,General Language Studies (Mega-Topic)
practice,0.0,1.2654176357710276,0,General Language Studies (Mega-Topic)
linguicism,0.0,1.2697524563271212,0,General Language Studies (Mega-Topic)
questions,0.0,1.3583156592561283,0,General Language Studies (Mega-Topic)
engagement,0.0,1.3790206278328434,0,General Language Studies (Mega-Topic)
professional,0.0,1.3802072893343813,0,General Language Studies (Mega-Topic)
discourse,0.0,1.3961023876641323,0,General Language Studies (Mega-Topic)
educators,0.0,1.4083145997016093,0,General Language Studies (Mega-Topic)
sojourners,0.0,1.4631681608453302,0,General Language Studies (Mega-Topic)
