Timestamp,Topic,Frequency,Name
Period A (2019-2022),-1,60,-1_english_l2_language_research
Period A (2019-2022),0,72,0_language_teachers_beliefs_students
Period A (2019-2022),1,49,1_emotions_self_students_positive
Period A (2019-2022),2,53,2_vocabulary_word_words_knowledge
Period A (2019-2022),3,30,3_complexity_task_writing_tasks
Period A (2019-2022),4,59,4_task_learners_engagement_tasks
Period A (2019-2022),5,35,5_fluency_speech_disfluency_speakers
Period A (2019-2022),6,48,6_reading_comprehension_listening_clil
Period A (2019-2022),7,1,7_ai_chatgpt_writing_feedback
Period A (2019-2022),8,30,8_pronunciation_training_feedback_intelligibility
Period A (2019-2022),9,35,9_memory_learning_procedural_noticing
Period A (2019-2022),10,19,10_efficacy_self_english_effect
Period A (2019-2022),11,16,11_autonomy_practices_literacy_dmc
Period A (2019-2022),12,28,12_translation_learning_words_language
Period A (2019-2022),13,8,13_relative_priming_clauses_stranding
Period A (2019-2022),14,19,14_phrasal_exercises_verbs_exercise
Period A (2019-2022),15,17,15_gender_nouns_noun_agreement
Period A (2019-2022),16,15,16_processing_l1_collocations_l2
Period A (2019-2022),17,17,17_online_teaching_technology_teacher
Period B (2024-2025),-1,35,-1_english_l2_language_research
Period B (2024-2025),0,102,0_language_teachers_beliefs_students
Period B (2024-2025),1,75,1_emotions_self_students_positive
Period B (2024-2025),2,41,2_vocabulary_word_words_knowledge
Period B (2024-2025),3,44,3_complexity_task_writing_tasks
Period B (2024-2025),4,32,4_task_learners_engagement_tasks
Period B (2024-2025),5,34,5_fluency_speech_disfluency_speakers
Period B (2024-2025),6,14,6_reading_comprehension_listening_clil
Period B (2024-2025),7,39,7_ai_chatgpt_writing_feedback
Period B (2024-2025),8,15,8_pronunciation_training_feedback_intelligibility
Period B (2024-2025),9,2,9_memory_learning_procedural_noticing
Period B (2024-2025),10,18,10_efficacy_self_english_effect
Period B (2024-2025),11,23,11_autonomy_practices_literacy_dmc
Period B (2024-2025),12,1,12_translation_learning_words_language
Period B (2024-2025),13,15,13_relative_priming_clauses_stranding
Period B (2024-2025),14,1,14_phrasal_exercises_verbs_exercise
Period B (2024-2025),15,2,15_gender_nouns_noun_agreement
Period B (2024-2025),16,23,16_processing_l1_collocations_l2
Period B (2024-2025),17,1,17_online_teaching_technology_teacher
